Group_ID_TBED,FirstSeenDate,FinalDate,First_TB_signs_date,TB_by_immigration,Alive_at_study_end,days_pre_exposure,days_post_exposure,Group_survival,ever_exposed,Lasting_group
Group_9,03/11/2008,03/12/2008,14/11/2008,TRUE,FALSE,11,19,30,TRUE,FALSE
Group_137,04/11/2009,28/02/2010,20/11/2009,FALSE,FALSE,16,100,116,TRUE,FALSE
Group_100,01/09/1998,29/09/1998,NA,FALSE,FALSE,NA,NA,28,FALSE,FALSE
Group_125,26/07/2008,28/09/2013,29/05/2009,FALSE,FALSE,307,1583,1890,TRUE,TRUE
Group_29,17/01/2008,09/05/2014,31/01/2008,TRUE,FALSE,14,2290,2304,TRUE,TRUE
Group_55,05/02/2008,14/08/2019,03/04/2011,TRUE,FALSE,1153,3055,4208,TRUE,TRUE
Group_138,07/08/2010,02/02/2017,27/12/2013,TRUE,FALSE,1238,1133,2371,TRUE,TRUE
Group_113,25/11/2010,19/12/2010,NA,FALSE,FALSE,NA,NA,24,FALSE,TRUE
Group_81,22/04/2010,07/08/2010,NA,FALSE,FALSE,NA,NA,107,FALSE,FALSE
Group_44,10/04/2010,NA,17/09/2016,FALSE,TRUE,2352,1597,3949,TRUE,TRUE
Group_67,22/10/2010,14/08/2012,06/09/2011,TRUE,FALSE,319,343,662,TRUE,TRUE
Group_74,26/10/2011,15/05/2013,27/10/2011,TRUE,FALSE,1,566,567,TRUE,TRUE
Group_142,19/05/2011,10/02/2012,NA,FALSE,FALSE,NA,NA,267,FALSE,TRUE
Group_101,08/11/2007,08/12/2007,NA,FALSE,FALSE,NA,NA,30,FALSE,TRUE
Group_76,25/06/2011,23/05/2017,20/07/2011,TRUE,FALSE,25,2134,2159,TRUE,TRUE
Group_34,12/04/2012,12/05/2012,27/04/2012,TRUE,FALSE,15,15,30,TRUE,FALSE
Group_60,03/08/2011,22/06/2012,18/10/2011,TRUE,FALSE,76,248,324,TRUE,TRUE
Group_129,12/04/2012,25/10/2012,25/06/2012,TRUE,FALSE,74,122,196,TRUE,TRUE
Group_30,25/05/2012,09/07/2016,09/06/2012,TRUE,FALSE,15,1491,1506,TRUE,TRUE
Group_151,02/07/2012,24/07/2012,18/07/2012,TRUE,FALSE,16,6,22,TRUE,FALSE
Group_13,30/07/2012,24/08/2012,NA,FALSE,FALSE,NA,NA,25,FALSE,FALSE
Group_95,15/10/2012,28/10/2012,NA,FALSE,FALSE,NA,NA,13,FALSE,FALSE
Group_75,03/11/2012,18/12/2014,13/11/2012,TRUE,FALSE,10,765,775,TRUE,TRUE
Group_68,31/10/2012,19/10/2013,30/11/2012,TRUE,FALSE,30,323,353,TRUE,TRUE
Group_136,22/01/2013,22/06/2013,10/03/2013,FALSE,FALSE,47,104,151,TRUE,FALSE
Group_40,27/04/2013,08/06/2013,NA,FALSE,FALSE,NA,NA,42,FALSE,FALSE
Group_116,22/05/2013,20/09/2013,NA,FALSE,FALSE,NA,NA,121,FALSE,FALSE
Group_57,30/07/2013,12/09/2013,29/07/2013,TRUE,FALSE,-1,45,44,TRUE,FALSE
Group_20,29/07/2013,20/02/2015,31/07/2013,TRUE,FALSE,2,569,571,TRUE,TRUE
Group_126,30/11/2013,20/01/2015,03/12/2013,TRUE,FALSE,3,413,416,TRUE,TRUE
Group_103,18/12/2013,17/03/2017,18/12/2013,TRUE,FALSE,0,1185,1185,TRUE,TRUE
Group_87,16/01/2014,10/08/2014,28/04/2014,FALSE,FALSE,102,104,206,TRUE,TRUE
Group_25,17/01/2014,22/03/2015,NA,FALSE,FALSE,NA,NA,429,FALSE,TRUE
Group_91,17/01/2014,13/06/2014,25/01/2014,TRUE,FALSE,8,139,147,TRUE,FALSE
Group_41,11/01/2014,04/12/2016,12/07/2016,FALSE,FALSE,913,145,1058,TRUE,TRUE
Group_77,10/01/2014,25/08/2014,NA,FALSE,FALSE,NA,NA,227,FALSE,TRUE
Group_86,26/03/2014,07/01/2015,NA,FALSE,FALSE,NA,NA,287,FALSE,TRUE
Group_21,06/08/2014,04/08/2015,11/02/2015,FALSE,FALSE,189,174,363,TRUE,TRUE
Group_8,15/10/2014,23/08/2015,15/10/2014,TRUE,FALSE,0,312,312,TRUE,TRUE
Group_92,31/10/2014,19/03/2015,NA,FALSE,FALSE,NA,NA,139,FALSE,FALSE
Group_119,11/11/2014,10/01/2016,03/02/2015,FALSE,FALSE,84,341,425,TRUE,TRUE
Group_108,19/11/2014,03/08/2015,31/12/2014,TRUE,FALSE,42,215,257,TRUE,TRUE
Group_134,13/11/2014,02/12/2015,05/06/2015,FALSE,FALSE,204,180,384,TRUE,TRUE
Group_7,15/12/2014,27/02/2016,30/01/2015,TRUE,FALSE,46,393,439,TRUE,TRUE
Group_63,01/08/2014,01/08/2014,NA,FALSE,FALSE,NA,NA,0,FALSE,TRUE
Group_90,19/06/2015,22/07/2015,07/07/2015,TRUE,FALSE,18,15,33,TRUE,FALSE
Group_62,04/06/2015,01/03/2016,NA,FALSE,FALSE,NA,NA,271,FALSE,TRUE
Group_141,07/07/2015,05/08/2016,22/07/2015,TRUE,FALSE,15,380,395,TRUE,TRUE
Group_11,16/07/2015,07/10/2015,NA,FALSE,FALSE,NA,NA,83,FALSE,FALSE
Group_19,27/07/2015,05/08/2015,NA,FALSE,FALSE,NA,NA,9,FALSE,FALSE
Group_66,17/10/2015,28/10/2015,NA,FALSE,FALSE,NA,NA,11,FALSE,FALSE
Group_64,23/10/2015,02/11/2015,NA,FALSE,FALSE,NA,NA,10,FALSE,FALSE
Group_117,08/10/2015,22/06/2016,08/10/2015,TRUE,FALSE,0,258,258,TRUE,TRUE
Group_3,13/01/2016,27/01/2016,13/01/2016,TRUE,FALSE,0,14,14,TRUE,FALSE
Group_149,27/01/2016,10/11/2016,01/02/2016,TRUE,FALSE,5,283,288,TRUE,TRUE
Group_33,06/12/2015,14/02/2016,NA,FALSE,FALSE,NA,NA,70,FALSE,FALSE
Group_56,03/06/2016,24/06/2016,18/06/2016,TRUE,FALSE,15,6,21,TRUE,FALSE
Group_72,01/07/2016,28/09/2016,10/07/2016,TRUE,FALSE,9,80,89,TRUE,FALSE
Group_132,05/07/2016,NA,09/03/2018,FALSE,TRUE,612,1059,1671,TRUE,TRUE
Group_59,11/06/2016,18/01/2017,31/07/2016,TRUE,FALSE,50,171,221,TRUE,TRUE
Group_4,28/07/2016,07/01/2017,01/08/2016,TRUE,FALSE,4,159,163,TRUE,FALSE
Group_43,17/09/2016,NA,13/12/2016,TRUE,TRUE,87,1510,1597,TRUE,TRUE
Group_121,27/10/2016,NA,26/11/2016,TRUE,TRUE,30,1527,1557,TRUE,TRUE
Group_54,26/01/2017,28/12/2017,04/02/2017,TRUE,FALSE,9,327,336,TRUE,TRUE
Group_105,28/01/2017,18/04/2017,NA,FALSE,FALSE,NA,NA,80,FALSE,FALSE
Group_49,21/03/2017,12/03/2018,23/03/2017,TRUE,FALSE,2,354,356,TRUE,TRUE
Group_124,02/05/2017,01/12/2017,02/05/2017,TRUE,FALSE,0,213,213,TRUE,TRUE
Group_83,21/06/2017,28/02/2018,12/07/2017,TRUE,FALSE,21,231,252,TRUE,TRUE
Group_6,26/08/2017,NA,NA,FALSE,TRUE,NA,NA,1254,FALSE,TRUE
Group_93,18/09/2017,13/01/2021,23/03/2018,FALSE,TRUE,186,1045,1231,TRUE,TRUE
Group_82,08/11/2017,04/06/2019,24/03/2018,FALSE,FALSE,136,437,573,TRUE,TRUE
Group_123,06/11/2017,16/11/2017,NA,FALSE,FALSE,NA,NA,10,FALSE,FALSE
Group_146,18/12/2017,20/04/2019,29/01/2018,FALSE,FALSE,42,446,488,TRUE,TRUE
Group_133,20/01/2018,NA,26/10/2019,TRUE,TRUE,644,463,1107,TRUE,TRUE
Group_65,02/08/2018,11/08/2018,02/08/2018,TRUE,FALSE,0,9,9,TRUE,FALSE
Group_24,01/11/2018,NA,24/01/2019,FALSE,TRUE,84,738,822,TRUE,TRUE
Group_53,18/11/2018,08/05/2019,18/11/2018,TRUE,FALSE,0,171,171,TRUE,FALSE
Group_17,12/04/2019,07/01/2021,NA,FALSE,TRUE,NA,NA,660,FALSE,TRUE
Group_85,14/03/2020,26/03/2020,NA,FALSE,FALSE,NA,NA,12,FALSE,FALSE
Group_48,15/09/2020,NA,NA,FALSE,TRUE,NA,NA,138,FALSE,FALSE
Group_128,07/10/2020,NA,NA,FALSE,TRUE,NA,NA,116,FALSE,FALSE
Group_78,15/10/2020,08/12/2020,NA,FALSE,FALSE,NA,NA,54,FALSE,FALSE
Group_79,10/11/2020,28/11/2020,15/07/2016,TRUE,FALSE,-1579,1597,18,TRUE,FALSE
Group_58,14/12/2020,NA,NA,FALSE,TRUE,NA,NA,48,FALSE,FALSE
